industry,resume_text,experience_level
Architecture,jessica claire montgomery street san francisco ca 94105 555 4321000 resumesampleexamplecom summary dedicated landscape architecture technical analytical communication skills demonstrated 15 years experience landscape architecture design professional highly effective integrating art science business landscape landscape architect integrates environmental approach large scale commercial projects promoting sustainable practices would like learn techniques knowledges new plants sciences software skills could make better professional landscape architecture area also would like solve environmental problems world make world beautiful place live ability major dearest wish career completing education getting license landscape architect top position career education training bachelor arts landscape architecture 2012 istanbul university istanbul high school diploma mathematics science 2007 private ortado u high school kartal istanbul second place high school graduated high school diploma mathematics science 2006 suleyman demirel high school kartal istanbul first place high school graduated experience landscape architecture 2013 052014 wsb houston tx discussed design standards procedures directors design architecture drafted detailed drawings structures specifying dimensions materials needed collaborated builders see construction line drawings designs led team architects technicians interns throughout contract document phases landscape project coordinated review contractors schedules submission shop drawings samples reviewed completed reports plans estimates calculations accuracy designed constructed maintained water forms vegetation walks landscape features drafted technical writeups proposals projects landscape architecture intern 062011 072011 wsb austin tx office skills internship landscape architecture intern 062010 072010 isik landscape city state plantation skills internship activities honors sertificate istanbul 2008 international landscape architecture symposium skills site environmental analysis project planning team player microsoft office programs hand drafting autocad adobe indesign land use planning hand rendering drawing sketchup basic perspective drawing lighting irrigation planting dimensioning technical grading details specs general site plans languages bilingual turkishenglish accomplishments contributed renovation downtown sector sancaktepe istanbul including improvements hardscape landscape also conducted controlling maintenance parks public spheres mosques schools green belts completed landscaping environmental planing projects parks culture centres health centre veterinary area mosques pertaining sancaktepe mayoralty also landscaping project revisions contributed project drawings set parks tendered purpose,senior
Accountant,jessica claire 100 montgomery st 10th floor 555 4321000 resumesampleexamplecom summary highlymotivated employee desire take new challenges strong worth ethic adaptability exceptional interpersonal skills adept working effectively unsupervised quickly mastering new skills skills payroll administration yearend close hst wsib remittance accounting bookkeeping general ledger entries ap ar general ledger accounting account reconciliation purchasing inventory control shippingreceiving accountant 032001 032023 experience boise cascade riverside ca monitored accounts receivable advising delinquencies account irregularities processed managed accounts payable driving accuracy ontime payment vendor invoices established maintained filing systems support office personnel supervised business office staff administrators driving office operations monitored office inventory maintain supply levels oversaw departments staffing coverage facilitate daytoday operations business office directed oversaw office personnel activities assisted processing travel expenses gathering receipts coding charges submitting worksheets interacted professionally customers inside personnel answering questions responding phone email inquiries used specialized accounting software debit credit total accounts computer spreadsheets databases delegated work staff setting priorities goals prepared monthly yearend closing statements financial documents invoices monitored balance sheets income statements evaluate financial performance reviewed financial information detailing assets liabilities capital prepared balance sheets profit loss statements bookkeeper 032001 032023 solaris healthcare performed basic accounting payroll bookkeeping services manage business operations entered deposits credit card charges sales entries facilitate cash management maintained full compliance executing tracking bank reconciliations ap invoicing billing collections prepared bank reconciliations managed field audits reviewed accounting records accuracy prepared monthend closing entries detailed reporting recordkeeping managed daily bookkeeping functions attention accounts receivable accounts payable banking reconciliation disbursements sorted documents matching supporting invoices procurement documents verifying invoices payment coded invoices records maintain organized accurate records verified posted account transactions prepare checks maintain accounting ledgers received payments customers via cash check credit cards pay company invoices reconciled company credit cards expense accounts expenses financial records calculated produced checks utilities taxes operational payments payroll administrator 032001 032023 berry plastics produced filed payroll reports every week managed payroll employees two different locations provided information answering employee questions payrollrelated matters reconciled bank statements prepared entered standard journal entries monthend close calculated applied wage garnishments calculated overtime vacation sick hours categories time prepared physical checks employees check stubs receiving direct deposits funds completed account reconciliations deposits expense tracking oversaw payroll processing comply tax laws courtordered wage assignments garnishments recruited interviewed selected employees fill vacant roles identified recommended updates payroll accounting software systems procedures group leader senior rater 061994 032001 linamar customs department city state tracked shipments communicated carriers confirm arrival time release researched interpreted rulings compliance publications guidelines customs regulations prepared processed import export documentation according customs regulations laws procedures calculated duty tariff payments owed shipment based standard tables legal requirements filed documented incoming shipments customs software careful attention detail accuracy cleared goods customs verified delivery client destinations requested compiled necessary customs invoices certificates origin cargocontrol documents monitored shipments obtained clearance customs agencies education training financial accounting 2005 conestoga college institute technology advanced learning kitchener high school diploma guelph collegiate vocational institute guelph 1993 customs broker licensing payroll training courses collecting money course certifications,junior
Testing,manual qa tester cv sample philip jennings 122 seaview road brighton east sussex 01203 456789 pjenningsallmailcom professional summary trained qualified motivated test analyst solid grounding financial services environment currently seeking opportunity develop widen qa testing business experience analysis skills progressive team major employer professional qualifications sql essentials abc london november 2010 inhouse training courses excel macros bespoke systems american express 20102011 full driving license key skills excellent eye detail team worker commercial awareness manual functional testing appreciation automation sql programming database queries experience junior test analyst american express brighton january 2012 date assisting senior analysts test planning design test execution recording analysis results completing various types test departmental documentation accordance company team policy providing uat internal clients required directed supervision team leader trainee test analyst american express september 2010 december 2011 attending incompany external courses working team coach manual testing financial datasystem changes team senior analysts entering test cases updating results hp quality centre data input inhouse matrix reports charts principally defect analysis education academic qualifications alevels computer science business studies 8 english 8 worthing college 2010 seven gcse passes four grade including ict durrington high school worthing 2008 references character employer references provided request conclusion call action manual qa tester cv sample one several examples provide help support cv writing process addition jobseekers invited use career tools curriculum vitae builder site additional valuable guidance,entry
Electrical Engineering,details clint hanks electrical engineer emailemailcom 1515 pacific ave los angeles ca 90291 united states 541 7543010 driving license full place birth san antonio profile nationality american energetic electrical engineer nine years experience production design microprocessors global navigation systems aerospace industry experience eagle pads orcad pads eagle involved design 200 specialized pcbs last 18 months holds phd signal process electronics employment history electrical enginer manow industries jackson january 2018 july 2020 overhauled machine arrangements across various departments improve efficiency 38 30 days design maintain improve electrical systems components facilities instruments domestic commercial industrial purposes use computerassisted design various engineering software equipment perform engineering duties discuss project scope progress challenges engineering manager ensure installation operating mechanics circuitry electrical components conform client specification prepare technical spec lists schematics pcb boards circuitry high voltage systems electrical systems specifications technical drawings topographical maps establish installation maintenance standards performing complex calculations ensure compliance industry codes regulations directing coordinating installation manufacturing maintenance troubleshooting testing repair electrical systems components write reports compile data sets regarding current future engineering projects research studies electrical engineer rta electrical components winterhude january 2016 december 2017 spearheaded lean manufacturing kanban philosophy positive effects quality cost time levels decreasing expenditures 28 improved quality 18 cut lead times 34 prepare specifications procurement electrical materials equipment supervise junior staff members contract workers,senior
Building and Construction,elaine cameron 78 avenue somewhere ab m2h 2h8 home 555 5558784 celle 555 5554222 ecameronismeemailserverca ement construction project management specializing residential light commercial co resultsoriented handson construction development professional 15 years expertise facets construction industry verifiable track record successful completion multimilliondollar projects coordinating trades developing partnerships building positive rapport architects engineers local officials vendors clients maintaining costs wellversed contract negotiations project estimating impending design issues document preparation building code regulations material procurement site management certification occupancy areas expertise include leadership team building permit building codes construction planning scheduling critical path project management budget analysis quality control management workplace safety compliance organization time management vendor materials management estimating job costing abc construction limitedsomewhere ab construction site manager largest construction company store area annual recone skilled trades professionali 1985present avare 10m employee population approximately 300 plan organize manage overall residential light construction development oversee design blueprint review analysis projects preparation construction documents bidding negotiations subcontractor selection material purchasing project budget building code compliance project development quality control certification occupancy effectively supervise diverse crew 60 skilled trades workers selected projects accomplishments quickly recruited assist superintendent troubleshooting structural issues construction 100000 square foot school project completed two weeks early 5 budget completed 7m 60unit luxury condo one week early met 90day deadline challenge 25 days rain supervised construction 50000 square foot warehouse completed within deadline despite extensive material delays architectural design challenges unforeseen subcontractor union disputes detected numerous design issues 150000 square foot longterm care hospital brought project time within budget achieved 100 project deliverable completions meeting strict deadlines budget requirements submitted 600 bids annually securing 75 reduced survey time 50 introduction new instruments expenditure recapped two jobs,senior
Software Engineering,contact nolandlarkingmailcom summary nolan larkin network security engineer 2081086948 linkedincominnolanlarkin professional network security engineer 6 years experience design implementation maintenance secure networks highly skilled analyzing network traffic detect vulnerabilities threats using various tools wireshark nmap nessus etc successfully developed automated process patch management led improved performance across systems experienced developing policies procedures related network security access controls per industry standards pcidss employment network security engineer employer rochester jan 2018 present accurately implemented maintained network security systems 200 users ensuring protection confidential data unauthorized access breaches utilized variety tools techniques monitor networks potential threats hourly basis reducing system vulnerabilities 23 streamlined administrative processes across departments allowing efficient management user accounts 4 million saved annually costs associated manual labor advised personnel best practices related cybersecurity measures successfully trained 10 new team members uptodate safety protocols within 3 months time frame resolved 77 reported technical issues within 12 hours less maintaining 99 uptime rate missioncritical applications used customers around world network security engineer employer b springfield mar 2012 dec 2017 demonstrated technical expertise designing implementing managing network security systems fortune 500 company reduced total data breaches 50 participated development testing secure networks identify potential vulnerabilities threats successfully upgraded firewalls 25 routers zero downtime spearheaded installation automated monitoring system collect realtime data 150 servers helping detect anomalies became issues resourcefully configured custom access controls across multiple platforms enforcing rigorous authentication protocols 100 accuracy rates structured project plans enabled teams complete highpriority projects within budgeted timelines resulting 35 lower costs expected timescales previously estimated education bachelor science computer science educational institution xyz nov 2011 skills,senior
Software Engineering,profile hugh newman net developer los angeles united states emailemailcom experienced net developer solid work tenure wide range net development aspects business applications highly adept development stages initial analysis design prototyping implementation execution extensive coding experience using aspnet 20 vbnet html xml currently completing masters degree software development machine learning details 1515 pacific ave los angeles ca 90291 united states 541 7543010 place birth san antonio nationality american driving license full employment history jan 2019present devonport jan 2016 dec 2018 jackson net developer sga courier services implemented smoothing functionality client cad tool improving ux user experience scores 38 extracting core use cases requirement specifications building end end applications using entity framework coding workflow build models use aspnet web api build restful apis creating visually appealing user interfaces css improve application usability tweak security features vulnerable software create robust clean maintainable code refracting use tfs create code versions implementing decoupled clean architecture applications writing unit integration tests automate assisting developing software solutions mobile customers developing designing testing maintaining supporting web applications clients net developer png financial services group achieved 99 client satisfaction score 20 maintenance projects completed various net websites utilizing aspnet mvc jquery html css analyzing customer requirements create applications accordingly evaluating researching technologies products related software development developing activities procedures required create system architecture userend applications use net web frameworks coupled c development activities use objectoriented programming writing reusable libraries links snapchat linkedin twitter facebook skills net languages eg c visual basic net html5css3 design architectural patterns eg modelviewcontroller mvc modules plugins c vbnet mvc inheritance generalization composition dependency oop object oriented programming,senior
Information Technology,jessica claire resumesampleexamplecom 555 4321000 100 montgomery st 10th floor professional summary jessica claire burgeoning web developer driven excellence become highly successful maintaining client satisfaction effective support problemsolving well equipped develop diverse consumerspecific web content using wordpress html css php articulate organized discerning gifted modeling strong communication comradery dedicated creating lasting project results guided understanding clients jessica works diligently foster atmosphere humility entrusted personal integrity character highest values workplace wants join organization produces good world skills wordpress project management php java script css html adobe creative suite bootstrap technical support web user interfaces interpersonal relations website optimization management empathy coaching education university north georgia dahlonega ga bachelor science health fitness university georgia athens ga bachelor science health fitness leng yang coding internship braselton computer programming websites portfolios profiles jessicatopherclairecom work history state nevada web developer pioche nv 062019 current designed implemented monitored web pages sites continuous improvement represented web team meetings executives discussed project goals milestones managed franchise partners 100 point contact technical support built relationships customers managed accounts drive revenue build trust oversaw troubleshooting client communication issues solve technical problems tested websites performed troubleshooting prior deployment developed websites converting pdfadobe xd designs wordpress platform provided client training delivered websites ran debugging tools firebug chrome inspector eliminate flaws glitches prior publishing optimized server function usage parameters based client needs created multiple layers conditional email routing autoresponders notifications salesforce integration complex networks freelance web developer new york ny 062020 current developed websites pages converting pdfadobe xdadobe indesign designs wordpress platform created form quizzes client use clients potential hires reformatted themes functionality easy use client make updates helped implement training video break downs instructions go along redesigned web app pages responsive mobile optimized updated web apps font awesome library designed implemented monitored web pages sites continuous improvement built relationships trust customers oversaw troubleshooting technical client communication issues solve problems quickly efficiently tested websites performed troubleshooting prior deployment created scope budget project proposals conde nast digital production director 1166 6th avenue ny 012018 current trained staff operation upkeep equipment oversaw talented team audio engineers graphic operators lighting operators actively communicating project information remedying issues delivering constructive feedback supervised production phases including set rehearsal live services shut evaluated employees strengths assigning tasks based upon experience training mentored team members grandma light console propresenter digico sd9 helped develop training manual audio engineers graphic operators lighting operators set enforced optimized internal policies maintain efficiency responsible team morale relational tone wciu technical director chicago il 012018 052019 responsible delegating appropriate assignments evaluating progress overseeing pace students presented proposals appropriate budgets materials labor tools technology analyzed technical issues developed action steps resolve roadblocks artistic vision theatre director handcrafted theatrical sets worked sketchup refine artistic directors designs implement changes technically oversaw 710 performance productions per year developed suggestions technical process improvements optimize resources managed implementation new technological improvements resulting increased efficiency oversaw personally operated theatrical lighting sound special effects tech monitored production operations quality compliance national standards recruited mentored volunteer personnel prioritizing candidates history skill matching well suited tasks,junior
Sales,johnson mejomon sales supervisor career objective grow along organization become professional excellent repute effectively contributing towards goal organization professional qualification operating systems windows linux office tools microsoft office word excel powerpoint access contact inforesumekraftcom 2025550120 chicago illinois us linkedincomresumekraft additional qualities think box solutions able work unsupervised learns fast creativity outspoken friendly independent levelheaded person likes make friends involved personality development updating knowledge based reading listening observation listening music sports favourite leisure activities academic qualification bachelors degree san jose state university experience team lead paytm one97 communications sep 2019present sales edcpos qr leading team 810 members monitoring teams activities performance meeting exceeding targets set management handling customer escalations complaints introducing ewallet services convincing importance digital payments clients selling different offerings digital payments clients relationship manager mswipe technologies pvt ltd oct 2017 sep 2019 supervised customer experience team entire kerala revenue enhancement selling edcpos machines qr supervised team 810 members monitoring teams activities performance meeting exceeding targets set management create support client retention strategies existing customer base new customers team leader service univercell mobiles apr 2014 sep 2017 supervised customer service team kerala maintain good relationship brand service centers delivery serviced handsets time complaint management csa circle coordinatoroff role tata teleservices ltd aug 2011 mar 2014 closing circle mobility nontechnical related complaints escalating issues concern technical nontechnical team ensuring fast resolution delighting customer satisfaction live call auditing cc team giving process education tvhtvs team,executive
Accountant,aysha everett professional summary arizona az 12345 012 3456 7890 ayshaemailcom focused accountant years experience adept writing reports budgets completing detailed financial analysis strategically planning top client services detailoriented extensive knowledge cash record maintenance comprehensive account reconciliations education work experience skills languages arizona christian university phoenix az 2016 bachelor science accounting accountant malco products annandale az 072022 current completed daily cash functions like account tracking payroll wage allocations budgeting donating cash banking reconciliations 95 accuracy analyzed budgets financial reports projections accurate reporting financial helped clients navigate interactions tax authorities legal concerns related financial matters junior accountant mansfield authoritymansfield az 042019052022 investigated resolved variances digital physical records promote record integrity set improved accounting systems processes meet business needs maximize effectiveness operations reviewed financial documents verify accounting data mathematical accuracy business intern kenny products inc phenix city az 092016052018 tracked analyzed reports determine needed improvements assisted various departments change oy communicating new improvement plans expectations collected arranged inputted information database system data trending knowledge invoice coding familiarity advanced bookkeeping skills intuit quickbooks specialist english dutch budget analysis financial reporting specialist cash flow analysis,junior
